EPCI;LIBEPCI;NATURE_EPCI;NB_COM
200000164;CC de Pange;CC;18
200000172;CC Faucigny-Glières;CC;7
200000321;CA des 2 Rives de la Seine;CA;12
200000354;CC de la Louge et du Touch;CC;14
200000388;CC du Sud Morvan;CC;7
200000420;CC de la Vôge Vers les Rives de la Moselle;CC;11
200000438;CC du Pays de Pontchâteau St Gildas des Bois;CC;9
200000487;CC du Plateau de Lommoye (Ccpl);CC;10
200000537;CC de la Presqu'île de Rhuys;CC;5
200000545;CC des Portes de Romilly Sur Seine;CC;6
200000594;CC Entre Loire et Allier;CC;9
200000610;CC le Minervois;CC;15
200000628;CC Rhône Lez Provence;CC;5
200000636;CC Cévenne et Montagne Ardéchoises;CC;7
200000735;CC de la Viadène;CC;6
200000743;CC du Nebbiu;CC;11
200000776;CA Argenteuil - Bezons;CA;2
200000800;CC Coeur de Sologne;CC;6
200000925;CC de la Plaine Dijonnaise;CC;25
200000933;CC Sauldre et Sologne;CC;13
200000974;CC Sources de la Loire;CC;8
200001006;CC du Pays d'Eguzon-Val de Creuse;CC;8
200001105;CC du Canton de Salies-Du-Salat;CC;22
200001170;CC Aubrac-Lot-Causse;CC;11
200004802;CC du Pays de Fayence;CC;9
200005130;CC du Pays de Trie;CC;22
200005932;CC du Canton de la Ferté-Saint-Aubin;CC;6
200005957;CC de la Région de Rambervillers;CC;30
200006047;CC du Sud Dijonnais;CC;9
200006070;CC Villeneuvois, Diège et Lot;CC;13
200006385;CA de l'Aéroport du Bourget;CA;3
200006393;CC du Val de Vôge;CC;12
200006427;CC Sère - Garonne - Gimone;CC;14
200006435;CC des Terrasses et Plaines des Deux Cantons;CC;6
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;CA;54
200006716;CC du Nogentais;CC;23
200006765;CC des Terres d'Apcher;CC;18
200006781;CC Entre 2 Lacs;CC;12
200006872;CC Champagnole Porte du Haut Jura;CC;38
200006880;CC Moine et Sèvre;CC;10
200006930;CC du Haut Allier;CC;9
200006971;CC du Perche;CC;19
200007052;CC de la Marche Berrichonne;CC;9
200007128;CC Errobi;CC;11
200007177;CC Pays de Nérondes;CC;12
200007425;CC du Canton de Tournay;CC;27
200007433;CC du Canton de Saint-Laurent-De-Neste;CC;18
200009611;CC des Portes du Comminges;CC;24
200010650;CA du Grand Dole;CA;42
200010700;CC Caux Vallée de Seine;CC;47
200011286;CC de l'Aubrac Lozérien;CC;6
200011625;CC du Pays Boulageois;CC;26
200011773;CA Annemasse-Les Voirons-Agglomération;CA;12
200011781;CC Portes du Berry Entre Loire et Val d'Aubois;CC;12
200011799;CC de la Vallée de la Barousse;CC;25
200011997;CC Authie-Maye;CC;34
200012003;CC des 2 Sources;CC;50
200012037;CC de l'Isle Crémieu;CC;21
200012060;CC Petite Montagne;CC;40
200012136;CC Seuil Charente Périgord;CC;15
200012227;CC la Porte du Vignoble;CC;10
200013050;CC Sauer-Pechelbronn;CC;24
200015162;CC de l'Oriente;CC;22
200016905;CC du Pays de Lamastre;CC;11
200017341;CC Lodévois et Larzac;CC;28
200017408;CC Cap Lauragais Cc du Canton de Villefranche de Lauragais;CC;21
200017762;CC de la Motte-Du-Caire -Turriers;CC;15
200017846;CC Etampois Sud Essonne (Ccese);CC;38
200018059;CA du Mont Valérien;CA;3
200018083;CC de Desvres-Samer;CC;31
200018158;CC des Sources de la Tille;CC;10
200018166;CC du Pays du Grésivaudan (Ccpg);CC;47
200018190;CC du Pays d'Entrevaux;CC;6
200018315;CC Apcher-Margeride-Aubrac;CC;3
200018323;CC du Canton de Beaugency;CC;7
200018356;CC du Canton de Mercoeur;CC;10
200018364;CC du Canton de Saint Privat;CC;10
200018406;CC du Romorantinais et du Monestois;CC;15
200018497;CC Aure 2008;CC;3
200018521;CC du Val de Bouzanne;CC;12
200018653;CA Cap Excellence;CA;3
200019008;CC du Pays de Clerval;CC;10
200022515;CC Haut Berry Val de Loire;CC;8
200022523;CA de la Brie Francilienne;CA;2
200022812;CC Gâtine - Autize;CC;13
200022846;CC du Barséquanais;CC;30
200022986;CC du Grand Pic Saint-Loup;CC;36
200022994;CC de Château-Renard;CC;10
200023026;CC du Pays de Bitche;CC;37
200023075;CC du Pays de Maîche;CC;19
200023125;CC les Portes Briardes Entre Villes et Forêts;CC;5
200023216;CC Aubrac-Laguiole;CC;7
200023240;CC Pays de Nemours;CC;12
200023257;CC Sologne Bourbonnais-Nivernais;CC;4
200023273;CC du Nord de l'Aube;CC;7
200023281;CA Mulhouse Alsace Agglomération (M2A);CA;34
200023299;CC Coeur de Tarentaise;CC;9
200023307;CA du Grand Villeneuvois;CA;19
200023323;CC des Vallées du Cristal;CC;18
200023331;CC Pontgibaud Sioule et Volcans;CC;7
200023356;CA Grand Paris Seine Ouest (Gpso);CA;8
200023372;CC de la Vallée de Chamonix-Mont-Blanc;CC;4
200023414;Métropole Rouen Normandie;ME;71
200023430;CA Est Ensemble;CA;9
200023448;CA Terres de France;CA;3
200023489;CC Entre Allier et Bois Noirs;CC;7
200023547;CC du Pays de Luchon;CC;31
200023554;CC du Boulonnais;CC;24
200023562;CC le Coeur du Pithiverais;CC;3
200023620;CC de la Gascogne Toulousaine;CC;14
200023695;CC Coeur Sud Oise;CC;13
200023703;CC des Trois Forêts;CC;5
200023737;CA du Grand Cahors;CA;39
200023778;CC du Pays de St Gilles-Croix-De-Vie;CC;14
200023794;CC du Canton de Blaye;CC;13
200023877;CC du Pays de Vernoux;CC;7
200023919;CC Gâtinais Val de Loing;CC;20
200024487;CC du Val d'Arly - Com'arly;CC;6
200025161;CC de la Raye;CC;5
200026177;CC du Chardon Lorrain;CC;39
200026185;CC de la Vallée de l'Orne;CC;5
200026482;CC Bresse Revermont;CC;37
200026573;CC Haut-Jura Saint-Claude;CC;28
200026722;CC du Canton de Cazères;CC;16
200026979;CA Seine-Défense;CA;2
200027001;CC du Sancerrois;CC;17
200027027;CC Arc Sud Bretagne;CC;12
200027035;CC Bouilly Mogne Aumont;CC;24
200027068;CA du Libournais;CA;34
200027076;CC Arnon Boischaut Cher;CC;19
200027100;CC Méditerranée Porte des Maures;CC;6
200027183;CA Perpignan Méditerranée (PMCA);CA;36
200027217;CC Sarlat-Périgord Noir;CC;13
200027225;CC la Brie des Morin;CC;21
200027274;CC du Coeur de la Brie;CC;10
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;CC;54
200027399;CC Fumel Communauté;CC;19
200027548;CC des Savanes;CC;4
200029734;CC des 4B Sud Charente;CC;46
200029999;CC Rives de l'Ain - Pays du Cerdon;CC;14
200030104;CC les Terres du Gâtinais;CC;16
200030195;Métropole Nice Côte d'Azur;ME;49
200030229;CC du Val des Mauves;CC;8
200030385;CA de Blois Agglopolys;CA;48
200030435;CC d'Aire Sur l'Adour;CC;22
200030518;CC Entre Somme et Loire;CC;17
200030526;CC du Ried de Marckolsheim;CC;17
200030559;CC du Betz et de la Cléry;CC;15
200030583;CC de la Région de Haguenau;CC;14
200030633;CC du Caudrésis et du Catésis;CC;46
200030658;CC du Trièves;CC;28
200030674;CA Val de Garonne Agglomération;CA;43
200030716;CC du Grand Roye;CC;28
200032514;CC Berry-Loire-Vauvise;CC;14
200033025;CA de Bar-Le-Duc - Sud Meuse;CA;33
200033090;CC Plaines et Monts de France;CC;37
200033116;CC Cluses-Arve et Montagnes;CC;10
200033124;CC Lintercom Lisieux-Pays d'Auge-Normandie;CC;33
200033157;CA Caen la Mer;CA;35
200033173;CC de la Haute Vallée de Chevreuse;CC;10
200033181;CA Chartres Métropole;CA;47
200033199;CC Coteaux du Vexin;CC;3
200033207;CC Vierzon-Sologne-Berry;CC;10
200033215;CC Maisons-Mesnil;CC;2
200033298;CC des Coëvrons;CC;39
200033371;CA Europ'essonne (Caee);CA;14
200033413;CA Seine Amont;CA;3
200033520;CC du Brannais;CC;15
200033538;CC les Avant-Monts du Centre Hérault;CC;18
200033579;CU d'Arras;CU;39
200033686;CA Reims Métropole;CA;16
200033827;CC de Fium'orbu Castellu;CC;12
200033868;CC des Ballons des Hautes-Vosges;CC;8
200034023;CC Tarn-Agout;CC;22
200034031;CC des Monts d'Alban et du Villefranchois;CC;15
200034049;CC Centre Tarn;CC;16
200034056;CC du Lautrécois et du Pays d'Agout;CC;26
200034064;CC du Cordais et du Causse (4 C);CC;18
200034098;CC des Montagnes du Griffe;CC;8
200034130;CC Gally Mauldre;CC;11
200034197;CC de Montaigne Montravel et Gurson;CC;18
200034205;CC de la Costa Verde;CC;23
200034270;CC Barr-Bernstein;CC;20
200034288;CC du Pays de Marmoutier-Sommerau;CC;10
200034353;CC Coeur de Puisaye;CC;24
200034361;CA d'Epinal;CA;38
200034379;CC Pays d'Uzès;CC;31
200034411;CC du Piémont Cévenol;CC;34
200034601;CC Causses Aigoual Cévennes;CC;16
200034635;CC du Kochersberg;CC;24
200034676;CC la Ferté-St Michel;CC;2
200034684;CC du Bassin de Neufchâteau;CC;42
200034692;CA du Gard Rhodanien;CA;42
200034700;CA Durance-Lubéron-Verdon Agglomération;CA;26
200034718;CC de Vitry, Champagne et Der;CC;35
200034726;CC Bastides de Lomagne;CC;41
200034817;CA Bergeracoise;CA;27
200034825;CA du Grand Guéret;CA;22
200034833;CC des Bastides Dordogne-Périgord;CC;49
200034841;CC du Sullias;CC;11
200034874;CC Côtes de Meuse Woëvre;CC;25
200034882;CC Pays du Mont-Blanc;CC;10
200034916;CC Asse-Bléone-Verdon;CC;17
200034924;CC les Portes du Poitou;CC;17
200034957;CC du Frontonnais;CC;10
200035020;CC de Billom - Saint-Dier / Vallée du Jauron;CC;21
200035087;CA Rhône Alpilles Durance;CA;13
200035103;CC de la Vallée de la Haute Sarthe;CC;31
200035111;CC des Sources de l'Orne;CC;26
200035129;CC de Cèze Cévennes;CC;23
200035137;CC Marche Occitane - Val d'Anglin;CC;17
200035152;CA Alès Agglomération;CA;50
200035178;CC du Pays de Saint-Eloy;CC;9
200035202;CC Charlieu-Belmont Communauté;CC;25
200035210;CC Chalaronne Centre;CC;15
200035228;CC du Pays de Pont de Roide;CC;11
200035251;CC Di E Tre Pieve : Boziu, Mercoriu E Rogna;CC;12
200035269;CC Chambaran Vinay Vercors;CC;20
200035319;CA Var Esterel Méditerranée (CAVEM);CA;5
200035327;CC Cazals-Salviac;CC;15
200035426;CC la Porte des Vallées;CC;31
200035434;CC les Vertes Collines du Saint-Polois;CC;58
200035442;CC du Sud-Artois;CC;58
200035459;CA d'Agen;CA;29
200035533;CC du Grand Saint Emilonnais;CC;22
200035541;CC des Landes d'Armagnac;CC;27
200035566;CC Portes de Puisaye Forterre;CC;18
200035590;CC Pays de Coulommiers;CC;20
200035632;CC Armagnac Adour;CC;25
200035665;CA Seine Eure;CA;37
200035699;CC du Haut Trégor;CC;15
200035707;CC Piège Lauragais Malepère;CC;38
200035715;CA Carcassonne Agglo;CA;73
200035723;CC Ventoux-Sud;CC;11
200035731;CA Roannais Agglomération;CA;40
200035749;CA Marne la Vallée - Val Maubuée;CA;6
200035756;CC Astarac Arros en Gascogne;CC;37
200035764;CC de la Beauce Loirétaine;CC;23
200035772;CC du Pays du Saintois;CC;55
200035780;CC Plancoët-Plélan;CC;18
200035806;CC de Hazelle en Haye;CC;9
200035814;CA du Pays de Flers;CA;25
200035848;CC du Châtillonnais en Berry;CC;10
200035855;CC Castelnaudary Lauragais Audois;CC;43
200035863;CC Région Lézignanaise, Corbières et Minervois;CC;52
200035871;CC des Corbières;CC;15
200035954;CC du Grand Langres;CC;35
200035970;CC Vexin Centre;CC;34
200035988;CC du Canton de Tinchebray;CC;8
200035996;CC des Vallées du Merlerault;CC;16
200036002;CC des Courbes de l'Orne;CC;21
200036051;CC de la Conca d'Oro;CC;4
200036069;CC du Bassin de Mortagne Au Perche;CC;33
200036077;CC du Golfe de Saint-Tropez;CC;12
200036093;CA Roissy Porte de France;CA;19
200036135;CC Coeur de France;CC;19
200036150;CC des Hauts du Val de Saône;CC;47
200036168;CC des Pays de l'Aigle et de la Marche;CC;25
200036325;CC de la Vallée d'Abondance;CC;6
200036358;CC de Bourmont, Breuvannes, Saint-Blin;CC;45
200036366;CC Vannier Amance;CC;34
200036382;CC des Coteaux de Pouyastruc;CC;27
200036457;CC Bigorre-Adour-Echez;CC;6
200036465;CC Thann-Cernay;CC;17
200036473;CA de Saintes;CA;36
200036499;CC de Marana-Golo;CC;10
200036523;CC des Bastides en Haut Agenais Périgord;CC;43
200036549;CC Val de Gray;CC;37
200036572;CC Porte d'Aquitaine en Pays de Serres;CC;15
200036614;CA Sud Pays Basque;CA;12
200036655;CC du Mortainais;CC;27
200036721;CC du Val de Sée;CC;28
200037059;CC de la Haute Somme;CC;60
200037133;CC du Provinois;CC;40
200038933;CA Privas Centre Ardèche;CA;35
200038958;CC de la Pieve de L'ornano;CC;13
200038982;CC Dame Blanche et Bussière;CC;24
200038990;CC de Saint-Méen Montauban;CC;19
200039022;CA Vitré Communauté;CA;46
200039055;CC du Sombernonnais et de la Vallée de l'Ouche;CC;32
200039063;CC Forêts, Seine et Suzon;CC;25
200039196;CC des Baronnies;CC;23
200039204;CC de Lacq-Orthez;CC;61
200039519;CC du Quercy Blanc;CC;23
200039576;CC du Pays Chablisien;CC;25
200039626;CC du Villeneuvien;CC;11
200039634;CC du Florentinois;CC;15
200039642;CC le Tonnerrois en Bourgogne;CC;52
200039709;CC du Serein;CC;39
200039725;CC Forterre Val d'Yonne;CC;19
200039733;CC de l'Orée de Puisaye;CC;14
200039758;CC Avallon, Vézelay, Morvan;CC;45
200039808;CC des Gorges de l'Ardèche;CC;19
200039824;CC Ardèche des Sources et Volcans;CC;17
200039832;CC Pays des Vans en Cévennes;CC;15
200039857;CA du Pays de Grasse;CA;23
200039865;CA Metz Métropole;CA;44
200039907;CC du Sud Messin;CC;34
200039915;CA des Pays de Lérins;CA;5
200039931;CC Alpes d'Azur;CC;34
200039949;CC Rives de Moselle;CC;20
200039956;CC de Sarrebourg - Moselle Sud;CC;28
200040004;CA du Gapençais;CA;3
200040038;CC Saône Doubs Bresse;CC;27
200040046;CA Saint-Germain Seine et Forêts;CA;10
200040053;CC du Charolais;CC;25
200040061;CC des Luys en Béarn;CC;22
200040087;CC du Tilleul et de la Bourbeuse;CC;20
200040095;CC Isle Vern Salembre en Périgord;CC;17
200040111;CC Coeur de Chartreuse;CC;17
200040137;CC des Lacs de Champagne;CC;43
200040178;CC de l'Outre-Forêt;CC;13
200040194;CC des Feuillardiers;CC;10
200040202;CC Provence Verdon;CC;15
200040210;CC Lacs et Gorges du Verdon;CC;11
200040244;CA du Bocage Bressuirais;CA;44
200040251;CC Bassée-Montois;CC;42
200040269;CC Vesle et Coteaux de la Montagne de Reims;CC;17
200040277;CA du Pays de Dreux;CA;78
200040285;CC du Grand Autunois Morvan;CC;43
200040293;CC du Clunisois;CC;36
200040319;CC des Monts et des Vignes;CC;20
200040327;CC Entre la Grosne et le Mont Saint Vincent;CC;27
200040350;CC Bugey Sud;CC;41
200040384;CC Isle Double Landais;CC;9
200040392;CA Le Grand Périgueux;CA;33
200040400;CC du Pays Ribéracois;CC;46
200040418;CC du Pays de Serres en Quercy;CC;22
200040426;CC du Val de L'oise;CC;32
200040442;CC Luberon Monts de Vaucluse;CC;11
200040459;CA Montélimar-Agglomération;CA;26
200040475;CC Loué - Brûlon - Noyen;CC;29
200040483;CA Valence-Romans Sud Rhône-Alpes;CA;51
200040491;CC Porte de Drômardèche;CC;35
200040509;CC du Crestois et du Pays de Saillans Coeur de Drôme;CC;15
200040541;CC Saône Beaujolais;CC;29
200040558;CC Ecueillé-Valençay;CC;19
200040566;CC de L'ouest Rhodanien;CC;36
200040574;CC Beaujolais Pierres Dorées;CC;34
200040590;CA Villefranche Beaujolais Saône;CA;21
200040616;CC du Pays Vernois et du Terroir de la Truffe;CC;21
200040624;CC Pays d'Apt-Luberon;CC;25
200040657;CC de la Matheysine du Pays de Corps et des Vallées du Valbonnais;CC;44
200040673;CA Poissy-Achères-Conflans Sainte Honorine;CA;3
200040681;CC Enclave des Papes-Pays de Grignan;CC;19
200040715;Grenoble-Alpes-Métropole;ME;49
200040723;CC Bièvre Isère;CC;41
200040764;CC du Sud Corse;CC;7
200040772;CC du Perche & Haut Vendômois;CC;23
200040780;CC Vallées Loir et Braye;CC;26
200040798;CC Val Vanoise Tarentaise;CC;10
200040814;CC Briance Sud Haute Vienne;CC;11
200040830;CC du Pays de Fénelon;CC;19
200040863;CC Val-De-Cher-Controis;CC;29
200040871;CC des Deux Sevi;CC;9
200040889;CC des Portes Sud Périgord;CC;28
200040905;CC Carmausin-Ségala;CC;33
200040947;CC de Flandre Intérieure;CC;50
200040954;CC des Hauts de Flandre;CC;41
200041010;CC Coeur de Savoie;CC;43
200041028;CC Bourbre-Tisserands;CC;11
200041044;CC Hermitage-Tournonais;CC;26
200041051;CC Vallée de la Dordogne et Forêt Bessède;CC;24
200041150;CC du Terrassonnais en Périgord Noir Thenon Hautefort;CC;39
200041168;CC de la Vallée de l'homme;CC;26
200041176;CC du Périgord Vert Nontronnais;CC;17
200041200;CC du Plateau de Lannemezan et des Baïses;CC;20
200041218;CC du Montaigu;CC;16
200041226;CC du Pays de Lourdes;CC;18
200041267;CC du Val d'Adour et du Madiranais;CC;19
200041283;CC de la Plaine du Rhin;CC;19
200041291;CC Vère-Grésigne - Pays Salvagnacois;CC;27
200041317;CA du Niortais;CA;45
200041325;CC du Pays Rhénan;CC;18
200041333;CC de Parthenay-Gâtine;CC;39
200041366;CC Rhône Crussol;CC;13
200041416;CC Airvaudais-Val du Thouet;CC;10
200041440;CC de Domme- Villefranche du Périgord;CC;23
200041465;CC Val Eyrieux;CC;34
200041499;CC Aunis Atlantique;CC;20
200041507;CA La Riviera du Levant;CA;4
200041515;CC du Bassin de Pont-à-Mousson;CC;31
200041523;CC de la Haute Saintonge;CC;131
200041556;CC Portes de la Creuse en Marche;CC;17
200041564;CC du Haut Périgord;CC;11
200041572;CC Dronne et Belle;CC;31
200041606;CC Portes de France;CC;22
200041614;CC Aunis Sud;CC;27
200041622;CC Ardennes Thiérache;CC;37
200041630;CA Charleville-Mézières/Sedan;CA;65
200041671;CC Intercom Risle et Charentonne;CC;24
200041689;CC des Vals de Saintonge;CC;112
200041721;CC de la Haute Comté;CC;38
200041762;CA Rochefort Océan;CA;25
200041788;CA du Pays Nord Martinique;CA;18
200041853;CC du Pays de Montbozon et du Chanois;CC;27
200041861;CC du Triangle Vert;CC;42
200041879;CC Terres de Saône;CC;39
200041887;CC du Val Marnaysien;CC;30
200041960;CC Pévèle-Carembault;CC;38
200041994;CC du Haut Val de Sèvre;CC;19
200042000;CC Bruyères-Vallons des Vosges;CC;41
200042109;CC Fave, Meurthe, Galilée;CC;23
200042117;CC du Pays de Mirecourt;CC;31
200042125;CC Terre de Granite;CC;9
200042133;CC du Pays des Abbayes;CC;20
200042141;CC de Saint-Dié-des-Vosges;CC;9
200042174;CA Lorient Agglomération;CA;25
200042182;CC du Mont des Avaloirs;CC;27
200042190;CA de la Porte du Hainaut;CA;46
200042323;CC du Mellois;CC;25
200042331;CC du Piémont Vosgien;CC;17
200042349;CC du Toulois;CC;34
200042372;CC des Coteaux Arrats Gimone;CC;30
200042380;CC Coeur de Bresse;CC;20
200042406;CC Saône, Seille, Sâne;CC;19
200042414;CC Bresse Revermont 71;CC;17
200042422;CC du Niolu;CC;5
200042430;CC de la Vallée du Golo;CC;17
200042463;CC de la Montagne Noire;CC;24
200042471;CC Cideral;CC;33
200042497;CC Dombes Saône Vallée;CC;19
200042513;CC Argentan Intercom;CC;33
200042596;CC des Dui-Sorru Cruzzini-Cinarca;CC;24
200042604;CC de Granville, Terre et Mer;CC;33
200042620;CC de Suippe et Vesle;CC;19
200042646;CC Avène - Bédarieux - Lamalou - Taussac - le Bousquet d'Orb;CC;24
200042653;CC Canal-Lirou Saint-Chinianais;CC;17
200042695;CC Communauté du Bocage Coutançais;CC;42
200042703;CC de l'Argonne Champenoise;CC;60
200042711;CC du Coeur du Cotentin;CC;24
200042729;CC de la Baie du Cotentin;CC;47
200042794;CC du Nord Champenois;CC;12
200042828;CC Grand-Figeac;CC;80
200042901;CC Drôme Sud Provence;CC;14
200042919;CC Orezza-Ampugnani;CC;29
200042927;CC Tude et Dronne;CC;41
200042935;CC Haut - Bugey;CC;37
200042943;CC du Cap Corse;CC;18
200042976;CC Ardre et Châtillonnais;CC;26
200042984;CC d'Avranches-Mont-Saint-Michel;CC;52
200042992;CC Perthois-Bocage et Der;CC;25
200043008;CA de Châlons en Champagne;CA;38
200043016;CC Val de Charente;CC;34
200043065;CC du Val d'Amboise;CC;14
200043081;CC Chinon, Vienne et Loire;CC;16
200043123;CC Auray Quiberon Terre Atlantique;CC;24
200043156;CC du Pays Rethelois;CC;65
200043164;CC Val et Plateaux Bortois;CC;12
200043172;CA du Bassin de Brive;CA;49
200043255;CC Dinan Communauté;CC;26
200043263;CC Coeur de l'Avesnois;CC;44
200043321;CC du Pays de Mormal;CC;53
200043354;CC Intercom du Bassin de Villedieu;CC;29
200043370;CA Saint-Lo Agglo;CA;73
200043388;CC Fismes Ardre et Vesle;CC;20
200043396;CA Maubeuge Val de Sambre;CA;42
200043404;CC du Sud Avesnois;CC;12
200043420;CC Côtes de Champagne et Saulx;CC;35
200043438;CC de la Moivre À la Coole;CC;25
200043487;CC du Limouxin;CC;54
200043495;CA du Pays de Laon;CA;38
200043602;CC des Albères et de la Côte Vermeille;CC;15
200043610;CC du Mirebalais;CC;12
200043628;CC des Vallées du Clain;CC;16
200043636;CC des Pays Civraisien et Charlois;CC;21
200043693;CC Terre Lorraine du Longuyonnais;CC;27
200043776;CC Pyrénées Audoises;CC;64
200043909;CC du Pays de Saint-Flour Margeride;CC;29
200043917;CA du Bassin d'Annonay;CA;16
200043974;CC du Sud Gironde;CC;30
200043982;CC du Bazadais;CC;31
200043990;CC Vallons de Haute-Bretagne Communauté;CC;20
200044014;CC Creuse Grand Sud;CC;26
200044022;CA de Cambrai;CA;49
200044030;CC des 7 Vallées;CC;69
200044048;CC Osartis Marquion;CC;50
200044055;CA de Béthune Bruay Noeux et Environs;CA;65
200044170;CA de Saint-Dizier, Der et Blaise;CA;39
200044253;CC du Bassin de Joinville en Champagne;CC;59
200044394;CC du Réolais en Sud Gironde;CC;36
200044469;CC du Pays de Mirepoix;CC;33
200044550;CC de l'Ouest Parisien;CC;3
200044618;CA du Douaisis [c.A.D.];CA;35
200044691;CA du Nord Grande Terre;CA;5
200044733;CA Seine & Vexin Com Agglo;CA;17
200046977;Métropole de LYON;ME;59
200047348;CC Causses et Vallée de la Dordogne;CC;62
200047710;CC Florac - Sud Lozère;CC;12
200048551;CC du Pays de Craon;CC;37
200048775;CA Lannion-Trégor Communauté;CA;38
200049187;CA du Grand Verdun;CA;26
200049211;CC Conflent-Canigou;CC;47
200049419;CC du Casaccóni È Gólu Suttanu;CC;7
200049484;CC Boischaut-Marche et Terres du Grand Meaulnes;CC;31
200050532;CC de Petite-Terre;CC;2
240100156;CC de Montrevel - en - Bresse;CC;14
240100339;CC du Canton de Saint Trivier de Courtes;CC;12
240100370;CC du Valromey;CC;15
240100396;CC de la Vallée de l'Albarine;CC;12
240100412;CC Rhône - Chartreuse de Portes;CC;11
240100578;CC du Plateau d'hauteville;CC;8
240100594;CC Val de Saône - Chalaronne;CC;7
240100610;CC du Canton de Montluel;CC;9
240100628;CA Bourg en Bresse Agglomération;CA;15
240100636;CC de Treffort en Revermont;CC;12
240100651;CC du Canton de Coligny;CC;9
240100669;CC des Bords de Veyle;CC;6
240100677;CC du Canton de Chalamont;CC;8
240100685;CC du Canton de Pont de Vaux;CC;12
240100693;CC de la Vallière;CC;9
240100727;CC Montmerle Trois Rivières;CC;8
240100750;CC du Pays de Gex;CC;27
240100800;CC de Miribel et du Plateau;CC;6
240100818;CC du Pays de Bâgé;CC;9
240100826;CC du Canton de Pont de Veyle;CC;12
240100842;CC Bresse Dombes Sud Revermont;CC;6
240100875;CC Centre Dombes;CC;13
240100883;CC de la Plaine de l'Ain;CC;33
240100891;CC du Pays Bellegardien (Ccpb);CC;15
240200261;CA de Saint Quentin;CA;20
